DATES,GDP,TAX,G,TB3MS,CPI_PIQ4
1990.75,0.036087934,0.068988469,0.074644844,0.0699,0.060873843
1991,0.023355895,0.043384208,0.070799524,0.060233333,0.051254241
1991.25,0.023000709,0.030188632,0.064237496,0.0556,0.047328238
1991.5,0.01934298,0.022361164,0.054077893,0.053766667,0.037796642
1991.75,0.015382297,0.017412314,0.044573913,0.0454,0.02922246
1992,0.018876145,0.014078192,0.048585863,0.038933333,0.028528084
1992.25,0.021534993,0.01185345,0.043759714,0.0368,0.03027232
1992.5,0.022588256,0.004642637,0.043939544,0.030833333,0.030283497
1992.75,0.023939766,0.018282069,0.033379051,0.0307,0.030742323
1993,0.017498065,-0.003421931,0.013833093,0.0296,0.03123775
1993.25,0.015426757,0.021159485,0.00768864,0.029666667,0.030771659
1993.5,0.012768847,0.013604762,0.002402238,0.030033333,0.027782807
1993.75,0.017387275,0.042098386,-0.00267076,0.0306,0.027316513
1994,0.0191203,0.026980203,-0.019714258,0.032433333,0.025078963
1994.25,0.024787965,0.049307818,-0.018218772,0.039866667,0.023546636
1994.5,0.022826979,0.042207393,-0.007612684,0.044766667,0.028151689
1994.75,0.025881904,0.045728053,-0.020487226,0.0528,0.025700242
1995,0.021288013,0.05016768,-0.022122106,0.057366667,0.028006759
1995.25,0.016820922,0.057713884,-0.022553864,0.055966667,0.03048406
1995.5,0.017580943,0.049764205,-0.032907187,0.053666667,0.026291142
1995.75,0.01673475,0.048704555,-0.045787919,0.0526,0.025924123
1996,0.016056893,0.060883919,-0.04558926,0.0493,0.027458687
1996.25,0.025537003,0.08504839,-0.042941029,0.0502,0.027878629
1996.5,0.024751971,0.079812557,-0.049342727,0.050966667,0.028588728
1996.75,0.027903772,0.097705471,-0.047863759,0.049766667,0.031802915
1997,0.029111362,0.100169523,-0.051252939,0.0506,0.029024387
1997.25,0.034263461,0.109197231,-0.049809757,0.050466667,0.022756987
1997.5,0.039250457,0.119689559,-0.05510552,0.050466667,0.022006547
1997.75,0.038727654,0.121120485,-0.057500975,0.0509,0.018731037
1998,0.041175959,0.131641355,-0.06916041,0.050533333,0.014716817
1998.25,0.042874577,0.136252292,-0.054303834,0.049766667,0.015709294
1998.5,0.047860054,0.144093916,-0.050086081,0.048233333,0.015835807
1998.75,0.056608689,0.146986147,-0.043963043,0.042533333,0.015142503
1999,0.05825075,0.151470501,-0.041223687,0.044066667,0.01673167
1999.25,0.057886772,0.149976451,-0.035760578,0.044533333,0.020903856
1999.5,0.062273621,0.15438231,-0.025119644,0.0465,0.023193537
1999.75,0.071123802,0.166031962,-0.012015838,0.050433333,0.025860918
2000,0.066675141,0.191713877,-0.019883111,0.0552,0.032058495
2000.25,0.078039209,0.184814296,-0.013160174,0.057133333,0.032407499
